"Rank","Name","Company","1-Year Pay ($mil)","5 Year Pay ($mil)","Shares Owned ($mil)","Age","Efficiency"
217,"Wood, David MDavid M Wood","Murphy Oil",6.64,24.083,4.9,53,"-"
218,"Johnson, Gregory EGregory E Johnson","Franklin Resources",6.61,49.93,176.4,49,"84"
219,"Rakowich, Walter CWalter C Rakowich","ProLogis",6.595,,9.9,53,"-"
220,"Stumpf, John GJohn G Stumpf","Wells Fargo",6.57,26.472,20.9,57,"-"
221,"Post, Glen F IIIGlen F Post III","CenturyLink",6.565,39.02,29.2,58,"106"
222,"Duperreault, BrianBrian Duperreault","Marsh & McLennan",6.535,,8.7,63,"-"
223,"Tomczyk, Fredric JFredric J Tomczyk","TD Ameritrade Holding",6.46,10.873,5,55,"-"
224,"Moynihan, Brian TBrian T Moynihan","Bank of America",,,6.8,51,"-"
225,"Gorman, James PJames P Gorman","Morgan Stanley",,,23.9,51,"-"
226,"Szews, Charles LCharles L Szews","Oshkosh",6.446,,4.3,55,"-"
227,"Vallee, RoyRoy Vallee","Avnet",6.43,31.01,15.4,58,"120"
228,"Laphen, Michael WMichael W Laphen","Computer Sciences",6.42,19.412,5.2,60,"-"
229,"Roth, Michael IMichael I Roth","Interpublic Group",6.425,23.61,15.4,65,"-"
230,"Burke, KevinKevin Burke","Consolidated Edison",6.415,16.8,8.9,60,"-"
231,"Gardner, Jeffery RJeffery R Gardner","Windstream",6.4,24.28,18.8,51,"-"
232,"Blake, Francis SFrancis S Blake","Home Depot",6.365,14.142,21.9,61,"-"
233,"Szymanczyk, Michael EMichael E Szymanczyk","Altria Group",6.355,,34.6,62,"-"
234,"Ludwig, Edward JEdward J Ludwig","Becton, Dickinson",6.29,65.64,19.5,59,"98"
235,"Engles, Gregg LGregg L Engles","Dean Foods",6.285,117.9,26.2,53,"196"
236,"Utt, William PWilliam P Utt","KBR",6.205,14.072,9.9,54,"-"
237,"Alexander, Anthony JAnthony J Alexander","FirstEnergy",6.16,43.04,11.6,59,"169"
238,"Saunders, Joseph WJoseph W Saunders","Visa",6.13,28.972,10.6,48,"-"
239,"Wren, John DJohn D Wren","Omnicom Group",6.135,83.41,65.8,58,"115"
240,"Wilson, Stephen RStephen R Wilson","CF Industries Holdings",6.125,46.26,16.7,62,"-"
241,"Hermance, Ronald E JrRonald E Hermance Jr","Hudson City Bancorp",6.11,62.62,37,63,"68"
242,"Niblock, Robert ARobert A Niblock","Lowe's Cos",6.105,29.51,25.3,48,"-"
243,"Kullman, Ellen JEllen J Kullman","EI du Pont de Nemours",6.09,14.213,6.7,55,"-"
244,"Berthiaume, Douglas ADouglas A Berthiaume","Waters",6.095,33.06,234.7,62,"77"
245,"Wilson, Alan DAlan D Wilson","McCormick & Co",6.07,18.323,6.2,53,"-"
246,"Varga, Paul CPaul C Varga","Brown-Forman",6.05,22.63,8.4,47,"-"
247,"Fettig, Jeff MJeff M Fettig","Whirlpool",6.05,42.45,29.7,54,"129"
248,"Dutkowsky, Robert MRobert M Dutkowsky","Tech Data",6.035,12.802,2.7,56,"-"
249,"Kowalski, Michael JMichael J Kowalski","Tiffany & Co",5.975,46.72,19.7,58,"49"
250,"Rodkin, Gary MGary M Rodkin","ConAgra Foods",5.97,29.34,12.2,59,"-"
251,"Speer, David BDavid B Speer","Illinois Tool Works",5.94,22.32,7.8,60,"-"
252,"Sprecher, Jeffrey CJeffrey C Sprecher","IntercontinentalExchg",5.935,110.71,201.4,56,"-"
253,"Main, Timothy LTimothy L Main","Ja Circuit",5.92,25.76,21.2,53,"181"
254,"Lowe, Kenneth WKenneth W Lowe","Scripps Networks",5.915,,25.7,60,"-"
255,"Wise, Allen FAllen F Wise","Coventry Health Care",,,3.4,68,"-"
256,"Powell, Kendall JKendall J Powell","General Mills",5.9,21.652,16.9,57,"-"
257,"Rogers, James EJames E Rogers","Duke Energy",5.9,33.2,39.5,63,"-"
258,"Fetter, TrevorTrevor Fetter","Tenet Healthcare",5.855,24.06,11.2,51,"179"
259,"Kabat, Kevin TKevin T Kabat","Fifth Third Bancorp",5.85,15.87,4.7,54,"-"
260,"Deaton, Chad CChad C Deaton","Baker Hughes",5.83,32.33,22.4,58,"122"
261,"Gellert, Jay MJay M Gellert","Health Net",5.79,33.68,23,57,"174"
262,"White, Michael DMichael D White","DirecTV",5.75,,7.1,58,"-"
263,"Goldner, BrianBrian Goldner","Hasbro",5.745,,11.2,47,"-"
264,"Martin, Murray DMurray D Martin","Pitney Bowes",5.71,21.47,3.2,63,"-"
265,"Miller, James HJames H Miller","PPL",5.705,19.672,1.5,62,"-"
266,"Freda, FabrizioFabrizio Freda","Estee Lauder Cos",5.69,,3.6,53,"-"
267,"Boothby, Lee KLee K Boothby","Newfield Exploration",5.68,,4.3,49,"-"
268,"Gremp, John TJohn T Gremp","FMC Technologies",5.646,,5.9,60,"-"
269,"Lindner, Carl H IIICarl H Lindner III","American Finl Group",5.645,24.14,321,57,"-"
270,"Timmerman, William BWilliam B Timmerman","Scana",5.64,20.36,3.9,64,"109"
271,"Ettinger, Jeffrey MJeffrey M Ettinger","Hormel Foods",5.63,21.34,13.2,52,"-"
272,"Sheffield, Scott DScott D Sheffield","Pioneer Natural Res",5.615,27.96,50.1,58,"83"
273,"Barrett, George SGeorge S Barrett","Cardinal Health",5.6,,12.5,56,"-"
274,"Hawkins, William AWilliam A Hawkins","Medtronic",5.59,17.432,2.3,57,"-"
275,"Mansell, KevinKevin Mansell","Kohl's",5.59,11.273,17.2,58,"-"
276,"Shattuck, Mayo A IIIMayo A Shattuck III","Constellation Energy",5.585,79.46,9,56,"191"
277,"Zuckerman, Mortimer BMortimer B Zuckerman","Boston Properties",,,136.8,72,"-"
278,"Watson, John SJohn S Watson","Chevron",,,2.8,54,"-"
279,"Izzo, RalphRalph Izzo","Pub Svc Enterprise",5.38,17.3,8.9,53,"-"
280,"McDaniel, Raymond W JrRaymond W McDaniel Jr","Moody's",5.31,29.81,5.2,53,"-"
281,"Hanrahan, Paul TPaul T Hanrahan","AES",5.3,40.71,4.9,53,"167"
282,"Watjen, Thomas RThomas R Watjen","Unum Group",5.295,24.21,17.7,56,"48"
283,"Hooley, Joseph LJoseph L Hooley","State Street",,,11.4,53,"-"
284,"O'Brien, Richard TRichard T O'Brien","Newmont Mining",5.27,15.802,11,56,"-"
285,"Haldeman, Charles E JrCharles E Haldeman Jr","Freddie Mac",5.24,,0,63,"-"
286,"Ryan, James TJames T Ryan","WW Grainger",5.24,10.783,19.5,52,"-"
287,"McGlade, John EJohn E McGlade","Air Prods & Chems",5.22,25.412,13.6,57,"-"
288,"Steiner, David PDavid P Steiner","Waste Management",5.19,25.01,14.1,50,"79"
289,"Tisch, James SJames S Tisch","Loews",5.115,18.4,301,58,"19"
290,"Johnson, William DWilliam D Johnson","Progress Energy",5.1,18.462,9,57,"-"
291,"Salem, Enrique TEnrique T Salem","Symantec",5.1,,4.5,45,"-"
292,"Reilly, Paul CPaul C Reilly","Raymond James Finl",5.076,,9.2,56,"-"
293,"Murphy, Glenn KGlenn K Murphy","Gap",5.045,13.643,3.3,49,"-"
294,"Glass, Dennis RDennis R Glass","Lincoln National",5.04,27.782,6.7,61,"-"
295,"Dillon, David BDavid B Dillon","Kroger",5.035,25.83,23.5,60,"81"
296,"Corzine, Jon SJon S Corzine","MF Global",5,,2.8,64,"-"
297,"Harvey, J BrettJ Brett Harvey","Consol Energy",4.965,36.27,19.8,60,"13"
298,"Butler, Gary CGary C Butler","Automatic Data",4.96,28.37,19.3,64,"-"
299,"Smucker, Timothy PTimothy P Smucker","JM Smucker",4.96,30.23,132.5,66,"62"
300,"Khosrowshahi, DaraDara Khosrowshahi","Expedia",4.955,18.44,4.2,42,"-"
